epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,32691.2,0.68758,2.46253,1.12762,0.36925,0.39558,0.33058,0.26762,0.68375,2.27743,1.07548,1.43608e-05,1.43608e-05,1.43608e-05
40,33532.8,0.68937,2.47544,1.12689,0.36758,0.4049,0.33342,0.27071,0.6799,2.2697,1.07403,1.32124e-05,1.32124e-05,1.32124e-05
41,34361,0.61464,2.46618,1.10975,0.35768,0.36898,0.31142,0.25058,0.65718,2.45472,1.04125,1.2064e-05,1.2064e-05,1.2064e-05
42,35190,0.60501,2.34469,1.10499,0.3501,0.39042,0.31974,0.25848,0.65106,2.41064,1.03473,1.09156e-05,1.09156e-05,1.09156e-05
43,36022.1,0.59881,2.30174,1.09847,0.36935,0.36975,0.32663,0.26444,0.64977,2.39172,1.03093,9.7672e-06,9.7672e-06,9.7672e-06
44,36856.4,0.59329,2.26895,1.09658,0.35329,0.39304,0.3326,0.27059,0.64819,2.35877,1.03033,8.6188e-06,8.6188e-06,8.6188e-06
45,37688.8,0.59465,2.24284,1.09803,0.34722,0.39865,0.33625,0.27338,0.64544,2.34687,1.02903,7.4704e-06,7.4704e-06,7.4704e-06
46,38515.7,0.59085,2.23457,1.0934,0.36097,0.39561,0.3379,0.27521,0.64522,2.32299,1.02934,6.322e-06,6.322e-06,6.322e-06
47,39344.6,0.58846,2.22684,1.09027,0.35936,0.39584,0.34033,0.27688,0.64218,2.30954,1.02674,5.1736e-06,5.1736e-06,5.1736e-06
48,40179.6,0.58782,2.19542,1.08884,0.34759,0.40293,0.34202,0.2786,0.64274,2.30608,1.02667,4.0252e-06,4.0252e-06,4.0252e-06
49,41051.6,0.5865,2.19863,1.08951,0.343,0.40805,0.34302,0.27952,0.64107,2.31197,1.02534,2.8768e-06,2.8768e-06,2.8768e-06
50,46243.8,0.58429,2.18429,1.08975,0.34369,0.40736,0.34371,0.28031,0.641,2.31048,1.02456,1.7284e-06,1.7284e-06,1.7284e-06
